symbol	hgnc_id	expected_all	observed_all	dne_all_p	info_all	mutation_category	events_n	dist	probability	dnn_p	expected_mis	observed_mis	dne_mis_p	info_mis	com_p	min_p
ABCA7	37	1.20854961667284	1.15236885672718	1	0|observed < expected, pvalue set at 1	missense	8	1147.5,nan	0.16983583016417	0.16983583016417	0.878823973055306	1.14736885672718	0.235898535342199	1211295028|probability of observing >= 38 mutations is too small	0.1689610657522	0.1689610657522
ABCA8	38	0.601697507870735	1.62831437039366	0.0265188578594961	1068411359|probability of observing >= 25 mutations is too small	missense	8	976.1,nan	0.303540696459303	0.303540696459303	0.356601988599545	1.16451454762329	0.00468719018926034	1068411359|probability of observing >= 25 mutations is too small	0.0107491285961842	0.0107491285961842
ABCA9	39	0.622665935612197	0.451605580758369	1	0|observed < expected, pvalue set at 1	missense	4	1716.3	0.85988114011886	0.85988114011886	0.344009561076559	0.450605580758369	0.291896197698324	1065594899|probability of observing >= 25 mutations is too small	0.597952406819987	0.597952406819987
ABCB1	40	0.640185083242786	0.403776357515924	1	0|observed < expected, pvalue set at 1	missense	2	1733.0	0.704283295716704	0.704283295716704	0.416936851409091	0.401776357515924	1	0|observed < expected, pvalue set at 1	0.951187126934376	0.951187126934376
ABCB10	41	0.418511644661367	0.001	1	0|observed < expected, pvalue set at 1	NA	NA	NA	NA	NA	0.320578729572413	0	1	0|observed < expected, pvalue set at 1	NA	1
ABCB11	42	0.653043849349097	1.16874464770263	0.135993414282555	1003779890|probability of observing >= 23 mutations is too small	missense	5	1418.3	0.936340063659936	0.936340063659936	0.44252745540097	1.16774464770263	0.0251040740478293	1003779890|probability of observing >= 23 mutations is too small	0.111665056492678	0.111665056492678
ABCB5	46	0.592270627426158	0.623998766872457	0.409527874645554	1002364790|probability of observing >= 23 mutations is too small	missense	4	723.6	0.322928677071323	0.322928677071323	0.326133287408955	0.623998766872457	0.118680350466008	1002364790|probability of observing >= 23 mutations is too small	0.163328786853361	0.163328786853361
ABCB6	47	0.561698432201087	0.110438174628439	1	0|observed < expected, pvalue set at 1	NA	NA	NA	NA	NA	0.391954044233051	0.110438174628439	1	0|observed < expected, pvalue set at 1	NA	1
ABCB7	48	0.325465333656667	1.60841974081948	0.0103965629633293	445088079|probability of observing >= 15 mutations is too small	missense	3	90.4	0.0236859763140237	0.0236859763140237	0.253831798003162	1.60841974081948	0.00505323049727135	445088079|probability of observing >= 15 mutations is too small	0.00120056947339284	0.00120056947339284
ABCB8	49	0.46395926023346	0.685630199920266	0.231208583797559	978547034|probability of observing >= 23 mutations is too small	missense	5	614.3	0.687515312484688	0.687515312484688	0.346529821654728	0.684630199920266	0.108803654248933	978547034|probability of observing >= 23 mutations is too small	0.268762551155706	0.231208583797559
ABCB9	50	0.488685312935565	0.482402284717418	1	0|observed < expected, pvalue set at 1	missense	3	1181.9	0.962632037367963	0.962632037367963	0.386493229838313	0.482402284717418	0.337172356748056	967546775|probability of observing >= 22 mutations is too small	0.689796984420905	0.689796984420905
ABCC1	51	0.874401864471116	0.936080063491091	0.401006564684658	1143490000|probability of observing >= 29 mutations is too small	missense	5	756.1	0.192503807496193	0.192503807496193	0.617794140957041	0.934080063491091	0.181593979118599	1143490000|probability of observing >= 29 mutations is too small	0.152191858144514	0.152191858144514
ABCC10	52	0.837992760472848	0.261027614783286	1	0|observed < expected, pvalue set at 1	missense	2	945.0	0.391551608448391	0.391551608448391	0.578364964841339	0.260027614783286	1	0|observed < expected, pvalue set at 1	0.758685255871347	0.758685255871347
ABCC11	14639	0.572464566533672	1.43257911043395	0.0376513347672479	1071600498|probability of observing >= 25 mutations is too small	missense	5	1289.7,nan,nan	0.792873207126793	0.792873207126793	0.374309052173074	0.785564833324999	0.0666662184081899	1071600498|probability of observing >= 25 mutations is too small	0.208267831837647	0.0376513347672479
ABCC12	14640	0.58398819210361	0.873839241685282	0.216471047241024	1066903485|probability of observing >= 25 mutations is too small	missense	6	1085.1	0.655874344125656	0.655874344125656	0.385611436723605	0.871839241685282	0.0491099720164885	1066903485|probability of observing >= 25 mutations is too small	0.142866655840289	0.142866655840289
ABCC2	53	0.690880146048974	0.571547695963607	1	0|observed < expected, pvalue set at 1	missense	5	685.8	0.141206858793141	0.141206858793141	0.441752851364322	0.570547695963607	0.300399658410094	1067074765|probability of observing >= 25 mutations is too small	0.176468175644519	0.176468175644519
ABCC3	54	0.833650637445184	0.864299406024151	0.422117437589616	1141542071|probability of observing >= 29 mutations is too small	missense	4	1248.7	0.533590466409534	0.533590466409534	0.612774460365493	0.862299406024151	0.227278454048219	1141542071|probability of observing >= 29 mutations is too small	0.377125291586398	0.377125291586398
ABCC4	55	0.650881837008179	0.7957014381264	0.324317811825828	1057637454|probability of observing >= 25 mutations is too small	missense	4	1335.8	0.807694192305808	0.807694192305808	0.42974296474322	0.7957014381264	0.118254209542135	1057637454|probability of observing >= 25 mutations is too small	0.319825163358876	0.319825163358876
ABCC5	56	0.879372527330487	1.31856685644358	0.19507537871821	1112194916|probability of observing >= 27 mutations is too small	missense	3	1547.2	0.736496263503737	0.736496263503737	0.604075076785556	0.670552579334628	0.386498589300685	1112194916|probability of observing >= 27 mutations is too small	0.642317269505797	0.19507537871821
ABCC6	57	0.753593446994795	0.48404675283771	1	0|observed < expected, pvalue set at 1	missense	4	1447.9	0.757397242602757	0.757397242602757	0.526053622719056	0.48404675283771	1	0|observed < expected, pvalue set at 1	0.967853248300044	0.967853248300044
ABCC8	59	0.991848144189171	1.36447904164406	0.232423256772084	1143412203|probability of observing >= 29 mutations is too small	missense	5	1654.0	0.905773094226906	0.905773094226906	0.725502189599378	1.36247904164406	0.0743699231141295	1143412203|probability of observing >= 29 mutations is too small	0.249083473567132	0.232423256772084
ABCC9	60	0.815468337389527	3.0888006773035	0.000850669997242373	1085112909|probability of observing >= 26 mutations is too small	missense	9	747.5,nan	0.0763569236430764	0.0763569236430764	0.566150191096368	2.68642373644184	0.000125980563980687	1085112909|probability of observing >= 26 mutations is too small	0.000120741118790821	0.000120741118790821
ABCD1	61	0.485233529008343	0.408774193195702	1	0|observed < expected, pvalue set at 1	NA	NA	NA	NA	NA	0.378204175364769	0.408774193195702	0.418111337596679	702076599|probability of observing >= 18 mutations is too small	NA	1
ABCD2	66	0.323690812260247	1.16832062260559	0.0205539871441228	669669178|probability of observing >= 18 mutations is too small	missense	2	296.0	0.248893751106249	0.248893751106249	0.222872844468789	0.52130634549663	0.105548926389667	669669178|probability of observing >= 18 mutations is too small	0.121876842011041	0.0205539871441228
ABCD3	67	0.435933643408136	0.213473678367209	1	0|observed < expected, pvalue set at 1	missense	2	815.0	0.626858373141627	0.626858373141627	0.253783357441687	0.212473678367209	1	0|observed < expected, pvalue set at 1	0.919622950293332	0.919622950293332
ABCD4	68	0.353734394512988	0.620036802085208	0.194720882114196	750182508|probability of observing >= 19 mutations is too small	missense	2	437.0	0.492835507164493	0.492835507164493	0.253920020499479	0.433173691146296	0.20296960511072	750182508|probability of observing >= 19 mutations is too small	0.330329028815916	0.194720882114196
ABCE1	69	0.972193086203723	0.823668452859096	1	0|observed < expected, pvalue set at 1	NA	NA	NA	NA	NA	0.735616463048916	0.823668452859096	0.366252281897009	593399510|probability of observing >= 17 mutations is too small	NA	1
ABCF1	70	0.534572609471215	0.680178369268522	0.310373711669092	884754790|probability of observing >= 21 mutations is too small	missense	4	117.8	0.00973399026600973	0.00973399026600973	0.348870288703559	0.680178369268522	0.128623387283391	884754790|probability of observing >= 21 mutations is too small	0.00961925792304451	0.00961925792304451
ABCF2	71	0.402437041226293	0.691107349839612	0.189707150871248	686539994|probability of observing >= 18 mutations is too small	NA	NA	NA	NA	NA	0.274258494314323	0.24809164673617	1	0|observed < expected, pvalue set at 1	NA	0.189707150871248
ABCF3	72	0.424788116656463	0.691737786848712	0.196768119195302	859037718|probability of observing >= 20 mutations is too small	missense	3	670.8	0.605988394011606	0.605988394011606	0.313096996438826	0.691737786848712	0.0879095285892586	859037718|probability of observing >= 20 mutations is too small	0.209484303353795	0.196768119195302
ABCG1	73	0.480800169230422	0.0980839967000696	1	0|observed < expected, pvalue set at 1	NA	NA	NA	NA	NA	0.35435497990264	0.0980839967000696	1	0|observed < expected, pvalue set at 1	NA	1
ABCG2	74	0.327508124014456	1.00175483712286	0.0447694669383392	708116074|probability of observing >= 18 mutations is too small	missense	3	407.3	0.365527634472365	0.365527634472365	0.200692628815778	0.354740560013903	0.208176879263657	708116074|probability of observing >= 18 mutations is too small	0.272096885350415	0.0447694669383392
ABCG4	13884	0.402156118003761	0.530438128922407	0.309904604842026	818645462|probability of observing >= 20 mutations is too small	missense	2	204.0,nan	0.197478802521197	0.197478802521197	0.313613879499089	0.529438128922407	0.213269209314409	818645462|probability of observing >= 20 mutations is too small	0.175511636628884	0.175511636628884
ABCG5	13886	0.349037107539787	0.278973770245069	1	0|observed < expected, pvalue set at 1	missense	2	569.0	0.522630477369523	0.522630477369523	0.241241453203124	0.278973770245069	0.38516238824669	780764887|probability of observing >= 19 mutations is too small	0.523971793324802	0.523971793324802
ABCG8	13887	0.323626318342265	0.598668942960492	0.171110505127191	792863558|probability of observing >= 19 mutations is too small	missense	3	415.7	0.400801599198401	0.400801599198401	0.229748467604561	0.598668942960492	0.0612202805536546	792863558|probability of observing >= 19 mutations is too small	0.11551041197319	0.11551041197319
ABHD1	17553	0.161303718939861	0.173902306492527	0.345806859096087	452549171|probability of observing >= 15 mutations is too small	NA	NA	NA	NA	NA	0.102786953822705	0.173902306492527	0.244852168717118	452549171|probability of observing >= 15 mutations is too small	NA	0.345806859096087
ABHD10	25656	0.171708512491422	0.153291456561228	1	0|observed < expected, pvalue set at 1	NA	NA	NA	NA	NA	0.110079830674369	0.153291456561228	0.300468648088288	359474466|probability of observing >= 14 mutations is too small	NA	1
ABHD11	16407	0.180275780260967	0.115255305152568	1	0|observed < expected, pvalue set at 1	NA	NA	NA	NA	NA	0.12205065058658	0.113255305152568	1	0|observed < expected, pvalue set at 1	NA	1
ABHD12	15868	0.306784480222346	0.62950794236437	0.15716382172469	716384343|probability of observing >= 18 mutations is too small	missense	3	290.9	0.448844551155449	0.448844551155449	0.204475702626604	0.62950794236437	0.0420545723855898	716384343|probability of observing >= 18 mutations is too small	0.0938110166610294	0.0938110166610294
ABHD12B	19837	0.15743867068339	0.196167993400139	0.324864283128308	385321663|probability of observing >= 14 mutations is too small	missense	2	nan,nan	NA	NA	0.106377151396477	0.196167993400139	0.242611575616874	385321663|probability of observing >= 14 mutations is too small	NA	0.324864283128308
ABHD15	26971	0.352726166603074	1.13110474097496	0.0262623955725524	825288300|probability of observing >= 20 mutations is too small	NA	NA	NA	NA	NA	0.265763109052626	0.284691638389748	0.413156121450545	825288300|probability of observing >= 20 mutations is too small	NA	0.0262623955725524
ABHD16A	13921	0.433172883184656	1.44479252348508	0.0170426639963875	781043669|probability of observing >= 19 mutations is too small	missense	8	495.4	0.907465092534907	0.907465092534907	0.287348646847762	1.44479252348508	0.00056328809011684	781043669|probability of observing >= 19 mutations is too small	0.0043851861004695	0.0043851861004695
ABHD16B	16128	0.292093789049433	0.565620341243198	0.130560047961561	910279107|probability of observing >= 21 mutations is too small	missense	4	127.3	0.0557709442290558	0.0557709442290558	0.226598071687915	0.564620341243198	0.0503824398373114	910279107|probability of observing >= 21 mutations is too small	0.019316816909587	0.019316816909587
ABHD17C	26925	0.770898058783514	0.001	1	0|observed < expected, pvalue set at 1	NA	NA	NA	NA	NA	0.687105183636999	0	1	0|observed < expected, pvalue set at 1	NA	1
ABHD2	18717	0.263511951330318	0.286234291317279	0.405878023530025	532340866|probability of observing >= 16 mutations is too small	NA	NA	NA	NA	NA	0.197804223561395	0.286234291317279	0.326001346990712	532340866|probability of observing >= 16 mutations is too small	NA	0.405878023530025
ABHD3	18718	0.177490133010658	0.498460937561723	0.103427412727705	460020391|probability of observing >= 15 mutations is too small	NA	NA	NA	NA	NA	0.106843177065499	0.0980839967000696	1	0|observed < expected, pvalue set at 1	NA	0.103427412727705
ABHD4	20154	0.235528443121339	0.122434832686509	1	0|observed < expected, pvalue set at 1	NA	NA	NA	NA	NA	0.15486377374368	0.121434832686509	1	0|observed < expected, pvalue set at 1	NA	1
ABHD5	21396	0.209180538119939	0.0980839967000696	1	0|observed < expected, pvalue set at 1	NA	NA	NA	NA	NA	0.115275124832294	0.0980839967000696	1	0|observed < expected, pvalue set at 1	NA	1
ABHD6	21398	0.178365453492703	0.286234291317279	0.263346272287753	359488728|probability of observing >= 14 mutations is too small	NA	NA	NA	NA	NA	0.129328680013567	0.286234291317279	0.1905072074032	359488728|probability of observing >= 14 mutations is too small	NA	0.263346272287753
ABHD8	23759	0.577201486770078	0.001	1	0|observed < expected, pvalue set at 1	NA	NA	NA	NA	NA	0.44064560174456	0	1	0|observed < expected, pvalue set at 1	NA	1
ABI2	24011	0.334582674030733	1.05799392485381	0.0363734930894857	596098405|probability of observing >= 17 mutations is too small	missense	2	37.0	0.0522079477920522	0.0522079477920522	0.244122243204703	0.409979647744857	0.219426084475743	596098405|probability of observing >= 17 mutations is too small	0.0626546741824488	0.0363734930894857
ABI3BP	17265	0.827166710370396	0.524638428614316	1	0|observed < expected, pvalue set at 1	missense	4	804.8	0.215778784221216	0.215778784221216	0.513358339304676	0.523638428614316	0.440228476278672	1115462938|probability of observing >= 27 mutations is too small	0.318599533968933	0.318599533968933
ABL1	76	1.06570753393737	7.47958715804046	6.14963644175865e-08	1071396650|probability of observing >= 25 mutations is too small	missense	12	366.8	0.00173899826100174	0.00173899826100174	0.883029845836231	6.97610312563622	5.24972284456025e-08	1071396650|probability of observing >= 25 mutations is too small	2.20169894095573e-09	2.20169894095573e-09
ABL2	77	0.688091681808215	0.685545627842948	1	0|observed < expected, pvalue set at 1	missense	4	950.9	0.557873442126558	0.557873442126558	0.475002844505307	0.682545627842948	0.258888071701679	1001816287|probability of observing >= 23 mutations is too small	0.423890087493589	0.423890087493589
ABLIM1	78	0.549594311165899	0.794462806724101	0.25090701512519	902419320|probability of observing >= 21 mutations is too small	missense	3	464.5	0.358662641337359	0.358662641337359	0.387542039337884	0.791462806724101	0.11655424662759	902419320|probability of observing >= 21 mutations is too small	0.174520704299596	0.174520704299596
ABLIM2	19195	0.434364496685405	0.87873554339869	0.123493595889293	875650345|probability of observing >= 21 mutations is too small	missense	5	436.6	0.568708431291569	0.568708431291569	0.283771802024701	0.87873554339869	0.0218831639504555	875650345|probability of observing >= 21 mutations is too small	0.0670348136977271	0.0670348136977271
ABR	81	1.19325178110525	0.603062551716845	1	0|observed < expected, pvalue set at 1	missense	3	908.1	0.7004732995267	0.7004732995267	0.917802796750016	0.602062551716845	1	0|observed < expected, pvalue set at 1	0.949841114866428	0.949841114866428
ABRA	30655	0.196725609323031	0.110281141135184	1	0|observed < expected, pvalue set at 1	NA	NA	NA	NA	NA	0.13338439274006	0.107281141135184	1	0|observed < expected, pvalue set at 1	NA	1
ABRAXAS2	28975	0.212167707874896	0.228908362182751	0.388937223396613	459690095|probability of observing >= 15 mutations is too small	missense	2	48.0	0.0798089201910798	0.0798089201910798	0.146216557144606	0.228908362182751	0.305930125907047	459690095|probability of observing >= 15 mutations is too small	0.115060631409843	0.115060631409843
ABTB1	18275	0.316250274031798	0.001	1	0|observed < expected, pvalue set at 1	NA	NA	NA	NA	NA	0.219358166644219	0	1	0|observed < expected, pvalue set at 1	NA	1
ABTB2	23842	0.914521961956167	0.285684391328961	1	0|observed < expected, pvalue set at 1	NA	NA	NA	NA	NA	0.745710960477121	0.285684391328961	1	0|observed < expected, pvalue set at 1	NA	1
ACAA2	83	0.192456221749917	0.285078585872783	0.265176106764875	369803530|probability of observing >= 14 mutations is too small	NA	NA	NA	NA	NA	0.126164452669626	0.285078585872783	0.167594483403416	369803530|probability of observing >= 14 mutations is too small	NA	0.265176106764875
ACACA	84	1.46626045443952	0.539332981601182	1	0|observed < expected, pvalue set at 1	missense	3	2056.7	0.581919418080582	0.581919418080582	0.954600809272208	0.539332981601182	1	0|observed < expected, pvalue set at 1	0.896984148438434	0.896984148438434
ACACB	85	1.55029743529506	0.487894410340246	1	0|observed < expected, pvalue set at 1	missense	2	4249.0,nan	0.823037176962823	0.823037176962823	1.1207664677446	0.481894410340246	1	0|observed < expected, pvalue set at 1	0.983326882643487	0.983326882643487
ACAD10	21597	0.569616240201549	0.964895150910929	0.170734650557435	1007666036|probability of observing >= 23 mutations is too small	missense	3	628.0	0.319503680496319	0.319503680496319	0.353998979823925	0.317880873801973	1	0|observed < expected, pvalue set at 1	0.684053062067833	0.170734650557435
ACAD11	30211	0.413073121389477	0.243894435208199	1	0|observed < expected, pvalue set at 1	NA	NA	NA	NA	NA	0.260919085947334	0.241894435208199	1	0|observed < expected, pvalue set at 1	NA	1
ACAD8	87	0.296365450382958	0.112632878754539	1	0|observed < expected, pvalue set at 1	NA	NA	NA	NA	NA	0.200071847410296	0.112632878754539	1	0|observed < expected, pvalue set at 1	NA	1
ACAD9	21497	0.348769569607209	1.12622064882434	0.0258430246637082	763620054|probability of observing >= 19 mutations is too small	NA	NA	NA	NA	NA	0.259635315973211	0.284691638389748	0.394510320019636	763620054|probability of observing >= 19 mutations is too small	NA	0.0258430246637082
ACADL	88	0.230806003897816	0.263569593494134	0.353158014096492	462161153|probability of observing >= 15 mutations is too small	NA	NA	NA	NA	NA	0.140639510829915	0.263569593494134	0.234456905115839	462161153|probability of observing >= 15 mutations is too small	NA	0.353158014096492
ACADM	89	0.23321639569696	0.286684391328961	0.285564928147529	432502804|probability of observing >= 15 mutations is too small	NA	NA	NA	NA	NA	0.144501182160492	0.285684391328961	0.197401806346523	432502804|probability of observing >= 15 mutations is too small	NA	0.285564928147529
ACADSB	91	0.18671282492658	0.824259198226475	0.0257785015833082	409371301|probability of observing >= 15 mutations is too small	missense	3	482.6	0.743859256140744	0.743859256140744	0.128856690270163	0.624860372750215	0.0153880289175031	409371301|probability of observing >= 15 mutations is too small	0.062613294839262	0.0257785015833082
ACADVL	92	0.340969961099407	0.0984907937379557	1	0|observed < expected, pvalue set at 1	NA	NA	NA	NA	NA	0.244376200317214	0.0984907937379557	1	0|observed < expected, pvalue set at 1	NA	1
ACAN	319	1.00663366226742	0.313387106958923	1	0|observed < expected, pvalue set at 1	missense	2	756.0,nan	0.193618806381194	0.193618806381194	0.732446495051879	0.311387106958923	1	0|observed < expected, pvalue set at 1	0.511514548194468	0.511514548194468
ACAP1	16467	0.511230652045663	0.625807188426836	0.340495737869577	894078568|probability of observing >= 21 mutations is too small	missense	3	616.2	0.519140480859519	0.519140480859519	0.350277916758422	0.624807188426836	0.167071937439767	894078568|probability of observing >= 21 mutations is too small	0.298790290087282	0.298790290087282
ACAP2	16469	0.453261765268627	0.287208950842047	1	0|observed < expected, pvalue set at 1	NA	NA	NA	NA	NA	0.286757778466152	0.286208950842047	1	0|observed < expected, pvalue set at 1	NA	1
ACAP3	16754	0.493150668859517	0.19839882547626	1	0|observed < expected, pvalue set at 1	NA	NA	NA	NA	NA	0.375313605454571	0	1	0|observed < expected, pvalue set at 1	NA	1
ACAT1	93	0.196709618821383	0.267443304620082	0.324273012963297	414475938|probability of observing >= 15 mutations is too small	NA	NA	NA	NA	NA	0.146222230719104	0.267443304620082	0.255910348225452	414475938|probability of observing >= 15 mutations is too small	NA	0.324273012963297
