symbol	hgnc_id	expected_all	observed_all	dne_all_p	info_all	probability	mutation_category	dnn_p	expected_mis	observed_mis	dne_mis_p	info_mis	com_p	min_p
AANAT	19	0.114394023749754	0.0980839967000696	1	0|observed < expected, pvalue set at 1	NA	missense	NA	0.0902505018489337	0.0980839967000696	0.415943374480896	292116168|probability of observing >= 13 mutations is too small	NA	1
AAR2	15886	0.155589831209737	0.188615089848363	0.352825663556508	382926076|probability of observing >= 14 mutations is too small	NA	missense	NA	0.119900455024548	0	1	0|observed < expected, pvalue set at 1	NA	0.352825663556508
AARD	33842	0.0665760808285037	0.001	1	0|observed < expected, pvalue set at 1	NA	missense	NA	0.0474427724033994	0	1	0|observed < expected, pvalue set at 1	NA	1
AARS	20	0.469652082477911	0.211267905994507	1	0|observed < expected, pvalue set at 1	NA	missense	NA	0.317537036120916	0.211267905994507	1	0|observed < expected, pvalue set at 1	NA	1
AARS2	21022	0.468823707913645	0.276165838213189	1	0|observed < expected, pvalue set at 1	0.152098847901152	missense	0.152098847901152	0.317235972411296	0.273165838213189	1	0|observed < expected, pvalue set at 1	0.438535148168348	0.438535148168348
AASDHPPT	14235	0.137657081449387	0.129720560139117	1	0|observed < expected, pvalue set at 1	NA	missense	NA	0.0897077247738439	0.129720560139117	0.272481205474205	260762300|probability of observing >= 13 mutations is too small	NA	1
AATF	19235	0.216188334743379	0.233998754201787	0.362156971385705	468885155|probability of observing >= 15 mutations is too small	0.163617836382164	missense	0.163617836382164	0.132413926838588	0.233998754201787	0.256647461636363	468885155|probability of observing >= 15 mutations is too small	0.175118560893613	0.175118560893613
AATK	21	0.655044673114824	0.296251990100209	1	0|observed < expected, pvalue set at 1	0.564766435233565	missense	0.564766435233565	0.515832452012309	0.294251990100209	1	0|observed < expected, pvalue set at 1	0.887441797217475	0.887441797217475
ABAT	23	0.253953069040402	0.752548264214807	0.0622234111108098	545752384|probability of observing >= 16 mutations is too small	0.435485564514435	missense	0.435485564514435	0.177357635424304	0.751548264214807	0.0147714423959647	545752384|probability of observing >= 16 mutations is too small	0.0388946778712419	0.0388946778712419
ABCA1	29	1.05640057547417	1.50076359965474	0.223297710434247	1129083966|probability of observing >= 28 mutations is too small	0.367739632260368	missense	0.367739632260368	0.739473696440176	1.50076359965474	0.0715560139175066	1129083966|probability of observing >= 28 mutations is too small	0.122035167029839	0.122035167029839
ABCA10	30	0.445557133399033	0.253625747324774	1	0|observed < expected, pvalue set at 1	0.751921248078752	missense	0.751921248078752	0.236604387811755	0.253625747324774	0.400594820012243	941561824|probability of observing >= 22 mutations is too small	0.66265311958662	0.66265311958662
ABCA12	14637	0.906917264415854	0.691241116473207	1	0|observed < expected, pvalue set at 1	0.673976326023674	missense	0.673976326023674	0.558659343297137	0.689241116473207	0.314278085398818	1129948632|probability of observing >= 28 mutations is too small	0.540562317410699	0.540562317410699
ABCA13	14638	1.31556423266037	1.32576937177965	0.443810735800538	1216318938|probability of observing >= 39 mutations is too small	0.731669268330732	missense	0.731669268330732	0.782921269291812	1.32276937177965	0.0683526604367804	1216318938|probability of observing >= 39 mutations is too small	0.199821186242513	0.199821186242513
ABCA2	32	1.14481899090516	0.93721532244336	1	0|observed < expected, pvalue set at 1	0.878024121975878	missense	0.878024121975878	0.873610488078794	0.93021532244336	0.412119044828319	1196791490|probability of observing >= 36 mutations is too small	0.729680228696319	0.729680228696319
ABCA3	33	0.687827494512541	0.879103289630052	0.288598813071951	1129438792|probability of observing >= 28 mutations is too small	0.58979041020959	missense	0.58979041020959	0.499576142280603	0.879103289630052	0.114221081194145	1129438792|probability of observing >= 28 mutations is too small	0.249094865575884	0.249094865575884
ABCA4	34	0.921745612145949	0.630493435692566	1	0|observed < expected, pvalue set at 1	0.409041590958409	missense	0.409041590958409	0.626154103507359	0.228116494830913	1	0|observed < expected, pvalue set at 1	0.774699592153149	0.774699592153149
ABCA5	35	0.568863627396067	0.766623659652805	0.284864826178296	918193478|probability of observing >= 21 mutations is too small	0.767998232001768	missense	0.767998232001768	0.332857104716862	0.765623659652805	0.0712280622655033	918193478|probability of observing >= 21 mutations is too small	0.213661061675731	0.213661061675731
ABCA6	36	0.42515048062215	0.898413421105311	0.107772824849331	943373037|probability of observing >= 22 mutations is too small	0.696928303071697	missense	0.696928303071697	0.252498939910687	0.497036480243658	0.114657352249147	943373037|probability of observing >= 22 mutations is too small	0.281825755195188	0.107772824849331
ABCA7	37	0.945110859995828	0.992349621609916	0.411726466299803	1178110746|probability of observing >= 33 mutations is too small	0.156404843595156	missense	0.156404843595156	0.687258569694372	0.988349621609916	0.188977487611884	1178110746|probability of observing >= 33 mutations is too small	0.133640024989913	0.133640024989913
ABCA8	38	0.470539927592385	0.954436211845488	0.114235057535539	968226043|probability of observing >= 22 mutations is too small	0.0981329018670981	missense	0.0981329018670981	0.278870149369109	0.490636389075113	0.156308156553872	968226043|probability of observing >= 22 mutations is too small	0.0794153611875547	0.0794153611875547
ABCA9	39	0.486937672874908	0.353521584058299	1	0|observed < expected, pvalue set at 1	0.946327053672946	missense	0.946327053672946	0.269022609937134	0.352521584058299	0.303048265049244	963230998|probability of observing >= 22 mutations is too small	0.644983126785214	0.644983126785214
ABCB1	40	0.500638009588536	0.403776357515924	1	0|observed < expected, pvalue set at 1	0.703440296559703	missense	0.703440296559703	0.326053263153582	0.401776357515924	0.328190481635297	861259836|probability of observing >= 20 mutations is too small	0.569291321137568	0.569291321137568
ABCB10	41	0.327284784130831	0.001	1	0|observed < expected, pvalue set at 1	NA	missense	NA	0.250699213853267	0	1	0|observed < expected, pvalue set at 1	NA	1
ABCB11	42	0.51069383131531	0.763140640658303	0.237265618922422	890180095|probability of observing >= 21 mutations is too small	0.342473657526342	missense	0.342473657526342	0.346065646106599	0.762140640658303	0.0877782314081918	890180095|probability of observing >= 21 mutations is too small	0.135413140146517	0.135413140146517
ABCB5	46	0.46316791161461	0.623998766872457	0.301393212354719	888167515|probability of observing >= 21 mutations is too small	0.323480676519323	missense	0.323480676519323	0.255042993257413	0.623998766872457	0.0631717941762572	888167515|probability of observing >= 21 mutations is too small	0.0999369281951421	0.0999369281951421
ABCB7	48	0.247908127279126	1.60841974081948	0.00478485008547933	334569058|probability of observing >= 14 mutations is too small	0.0237489762510238	missense	0.0237489762510238	0.193344602879391	1.60841974081948	0.00229027706470699	334569058|probability of observing >= 14 mutations is too small	0.000588480414578494	0.000588480414578494
ABCB8	49	0.362825761882615	0.371302822862553	0.413622456309474	845968915|probability of observing >= 20 mutations is too small	0.863353136646863	missense	0.863353136646863	0.270993505967866	0.370302822862553	0.300744841554781	845968915|probability of observing >= 20 mutations is too small	0.609766091672615	0.413622456309474
ABCB9	50	0.382162047800213	0.384318288017349	0.430089287997553	844673009|probability of observing >= 20 mutations is too small	0.753116246883753	missense	0.753116246883753	0.302245719824616	0.384318288017349	0.334666839970179	844673009|probability of observing >= 20 mutations is too small	0.599397512120028	0.430089287997553
ABCC1	51	0.683800389087332	0.600477325874385	1	0|observed < expected, pvalue set at 1	0.0786579213420787	missense	0.0786579213420787	0.483127828435975	0.598477325874385	0.32108089038663	1091822008|probability of observing >= 26 mutations is too small	0.118163397749418	0.118163397749418
ABCC10	52	0.655327714803414	0.261027614783286	1	0|observed < expected, pvalue set at 1	0.39025260974739	missense	0.39025260974739	0.452293395133827	0.260027614783286	1	0|observed < expected, pvalue set at 1	0.757465108247993	0.757465108247993
ABCC11	14639	0.447679161310121	0.673302741860375	0.228422700181973	984114774|probability of observing >= 23 mutations is too small	0.823527176472823	missense	0.823527176472823	0.292717440246622	0.673302741860375	0.0613216094840066	984114774|probability of observing >= 23 mutations is too small	0.201282023682379	0.201282023682379
ABCC12	14640	0.456690875452781	0.65445910433718	0.246342567978814	965530545|probability of observing >= 22 mutations is too small	0.829215170784829	missense	0.829215170784829	0.301556139324586	0.65245910433718	0.0814011490987158	965530545|probability of observing >= 22 mutations is too small	0.249452355474472	0.246342567978814
ABCC2	53	0.540282599885293	0.361937178192859	1	0|observed < expected, pvalue set at 1	0.100672899327101	missense	0.100672899327101	0.345459889688218	0.360937178192859	0.427939478699215	965834176|probability of observing >= 22 mutations is too small	0.178559522280311	0.178559522280311
ABCC3	54	0.651932084560133	0.607826544583937	1	0|observed < expected, pvalue set at 1	0.237341762658237	missense	0.237341762658237	0.479202334128309	0.606826544583937	0.308658069051661	1072180042|probability of observing >= 25 mutations is too small	0.264735965969581	0.264735965969581
ABCC4	55	0.509003092834524	0.532958503077973	0.404201586254108	950439685|probability of observing >= 22 mutations is too small	0.66034433965566	missense	0.66034433965566	0.336067909320733	0.532958503077973	0.211877419743597	950439685|probability of observing >= 22 mutations is too small	0.415082862131439	0.404201586254108
ABCC5	56	0.687687550512047	0.384318288017349	1	0|observed < expected, pvalue set at 1	0.643829356170644	missense	0.643829356170644	0.47239923578362	0.384318288017349	1	0|observed < expected, pvalue set at 1	0.927321304507814	0.927321304507814
ABCC6	57	0.589325701610207	0.38596275613764	1	0|observed < expected, pvalue set at 1	0.804905195094805	missense	0.804905195094805	0.411384840897688	0.38596275613764	1	0|observed < expected, pvalue set at 1	0.979594396259319	0.979594396259319
ABCC8	59	0.77564581512224	1.07824475032678	0.244181566511525	1090246455|probability of observing >= 26 mutations is too small	0.653736346263654	missense	0.653736346263654	0.567357755843576	1.07624475032678	0.0939818341892413	1090246455|probability of observing >= 26 mutations is too small	0.2328369723459	0.2328369723459
ABCC9	60	0.637713148899382	0.002	1	0|observed < expected, pvalue set at 1	NA	NA	NA	0.442741188787065	0	1	0|observed < expected, pvalue set at 1	NA	1
ABCD2	66	0.253132927045428	0.899445474356948	0.0364804633297768	529987375|probability of observing >= 16 mutations is too small	NA	missense	NA	0.174291185731791	0.252431197247992	0.321069273512901	529987375|probability of observing >= 16 mutations is too small	NA	0.0364804633297768
ABCD3	67	0.340909148402886	0.0990839967000696	1	0|observed < expected, pvalue set at 1	NA	missense	NA	0.198463847818395	0.0980839967000696	1	0|observed < expected, pvalue set at 1	NA	1
ABCD4	68	0.276627631332715	0.620036802085208	0.131491750843017	607249692|probability of observing >= 17 mutations is too small	0.493086506913493	missense	0.493086506913493	0.198570721163351	0.433173691146296	0.134495243254749	607249692|probability of observing >= 17 mutations is too small	0.246257655921218	0.131491750843017
ABCE1	69	0.760275152222165	0.823668452859096	0.403068335999996	460330909|probability of observing >= 15 mutations is too small	NA	missense	NA	0.5752673274046	0.823668452859096	0.284763086060917	460330909|probability of observing >= 15 mutations is too small	NA	0.403068335999996
ABCF1	70	0.418046865182461	0.400764188432125	1	0|observed < expected, pvalue set at 1	0.000455999544000456	missense	0.000455999544000456	0.272823799730569	0.400764188432125	0.268807936794536	747332093|probability of observing >= 19 mutations is too small	0.00122659365239948	0.00122659365239948
ABCF2	71	0.314714110931296	0.691107349839612	0.122828617452555	546603892|probability of observing >= 16 mutations is too small	NA	missense	NA	0.214475829412914	0.24809164673617	0.442372520059386	546603892|probability of observing >= 16 mutations is too small	NA	0.122828617452555
ABCF3	72	0.332193115376142	0.438272824818388	0.29956830866485	719894813|probability of observing >= 18 mutations is too small	0.347979652020348	missense	0.347979652020348	0.244848343406085	0.438272824818388	0.190323744363577	719894813|probability of observing >= 18 mutations is too small	0.246016114475342	0.246016114475342
ABCG1	73	0.375995701921198	0.0980839967000696	1	0|observed < expected, pvalue set at 1	NA	missense	NA	0.277112941975508	0.0980839967000696	1	0|observed < expected, pvalue set at 1	NA	1
ABCG2	74	0.256118143990697	0.256656563313834	0.397087175769074	576682380|probability of observing >= 17 mutations is too small	0.921328078671921	missense	0.921328078671921	0.156945797175529	0.256656563313834	0.271863115002897	576682380|probability of observing >= 17 mutations is too small	0.597231797212911	0.397087175769074
ABCG4	13884	0.314494423146221	0.274965267482193	1	0|observed < expected, pvalue set at 1	NA	missense	NA	0.245252556676987	0.273965267482193	0.426224280762819	675746815|probability of observing >= 18 mutations is too small	NA	1
ABCG5	13886	0.272954255519555	0.278973770245069	0.395256301480989	637340730|probability of observing >= 17 mutations is too small	0.523360476639523	missense	0.523360476639523	0.188655818642458	0.278973770245069	0.29261800310755	637340730|probability of observing >= 17 mutations is too small	0.440501130587863	0.395256301480989
ABCG8	13887	0.253082491464259	0.598668942960492	0.1160442529138	659540688|probability of observing >= 18 mutations is too small	0.401245598754401	missense	0.401245598754401	0.179668065592748	0.598668942960492	0.0326219373097732	659540688|probability of observing >= 18 mutations is too small	0.0698444551522424	0.0698444551522424
ABHD1	17553	0.126142852907828	0.173902306492527	0.268498254940504	349551957|probability of observing >= 14 mutations is too small	NA	missense	NA	0.0803815292177809	0.173902306492527	0.181626524444187	349551957|probability of observing >= 14 mutations is too small	NA	0.268498254940504
ABHD11	16407	0.140979398254182	0.115255305152568	1	0|observed < expected, pvalue set at 1	NA	missense	NA	0.0954461395275564	0.113255305152568	0.314257220565161	384376266|probability of observing >= 14 mutations is too small	NA	1
ABHD12	15868	0.239911824832259	0.386262827818246	0.22778598090859	584477073|probability of observing >= 17 mutations is too small	0.664800335199665	missense	0.664800335199665	0.159904239339138	0.386262827818246	0.107522502863169	584477073|probability of observing >= 17 mutations is too small	0.260070998471664	0.22778598090859
ABHD12B	19837	0.123120305027953	0.0980839967000696	1	0|observed < expected, pvalue set at 1	NA	missense	NA	0.0831891381646475	0.0980839967000696	0.41097335888346	294060434|probability of observing >= 13 mutations is too small	NA	1
ABHD15	26971	0.275839176201156	1.13010474097496	0.0131595482398473	682677705|probability of observing >= 18 mutations is too small	NA	missense	NA	0.20783226198307	0.284691638389748	0.315210427270032	682677705|probability of observing >= 18 mutations is too small	NA	0.0131595482398473
ABHD16A	13921	0.338750176662661	0.961600037777869	0.0527867618048983	637619818|probability of observing >= 17 mutations is too small	0.56006443993556	missense	0.56006443993556	0.224712600123589	0.961600037777869	0.006595898138468	637619818|probability of observing >= 17 mutations is too small	0.0243849786109068	0.0243849786109068
ABHD16B	16128	0.228423399717708	0.418680941414181	0.156563352565117	776715157|probability of observing >= 19 mutations is too small	0.14969285030715	missense	0.14969285030715	0.177204390661216	0.417680941414181	0.0857186606581795	776715157|probability of observing >= 19 mutations is too small	0.0687234895288441	0.0687234895288441
ABHD3	18718	0.138800964342934	0.498460937561723	0.0749620394554828	355829792|probability of observing >= 14 mutations is too small	NA	missense	NA	0.0835535799010506	0.0980839967000696	0.459139237922927	355829792|probability of observing >= 14 mutations is too small	NA	0.0749620394554828
ABHD4	20154	0.184188126296963	0.122434832686509	1	0|observed < expected, pvalue set at 1	NA	missense	NA	0.121106682229586	0.121434832686509	0.368338733684191	352915267|probability of observing >= 14 mutations is too small	NA	1
ABHD5	21396	0.163583518251564	0.0980839967000696	1	0|observed < expected, pvalue set at 1	NA	missense	NA	0.0901475378944796	0.0980839967000696	0.365774830673071	277367603|probability of observing >= 13 mutations is too small	NA	1
ABHD6	21398	0.139485483110013	0.286234291317279	0.20345998379939	275574119|probability of observing >= 13 mutations is too small	NA	missense	NA	0.101137709452299	0.286234291317279	0.143606223211152	275574119|probability of observing >= 13 mutations is too small	NA	0.20345998379939
ABHD8	23759	0.451383531156921	0.001	1	0|observed < expected, pvalue set at 1	NA	missense	NA	0.344593997526302	0	1	0|observed < expected, pvalue set at 1	NA	1
ABI2	24011	0.261650588797039	0.409979647744857	0.243230094197709	462611814|probability of observing >= 15 mutations is too small	0.052045947954052	missense	0.052045947954052	0.190908656158021	0.409979647744857	0.151109955548392	462611814|probability of observing >= 15 mutations is too small	0.0459718988717644	0.0459718988717644
ABI3BP	17265	0.64686151914084	0.426554431914247	1	0|observed < expected, pvalue set at 1	0.133515866484133	missense	0.133515866484133	0.401456866025884	0.425554431914247	0.413225689726521	1043250667|probability of observing >= 24 mutations is too small	0.215022358038489	0.215022358038489
ABL1	76	0.833405389409214	6.24427816042615	3.44463298170773e-07	983729772|probability of observing >= 23 mutations is too small	0.00238599761400239	missense	0.00238599761400239	0.690547649419508	6.24327816042615	6.96390888740852e-08	983729772|probability of observing >= 23 mutations is too small	3.90773322476233e-09	3.90773322476233e-09
ABL2	77	0.538101963029106	0.414185375205574	1	0|observed < expected, pvalue set at 1	0.822766177233823	missense	0.822766177233823	0.371462073776319	0.412185375205574	0.33906510638281	887391075|probability of observing >= 21 mutations is too small	0.635118999235868	0.635118999235868
ABLIM1	78	0.429794147388673	0.54308557338518	0.329193232904585	767507792|probability of observing >= 19 mutations is too small	0.37986762013238	missense	0.37986762013238	0.303065910600763	0.54008557338518	0.194167823293273	767507792|probability of observing >= 19 mutations is too small	0.266042764313867	0.266042764313867
ABLIM2	19195	0.339682043128828	0.699243873409575	0.134291229590112	737177548|probability of observing >= 19 mutations is too small	0.844939155060845	missense	0.844939155060845	0.221915433304654	0.699243873409575	0.0329037053329708	737177548|probability of observing >= 19 mutations is too small	0.127405431519269	0.127405431519269
ABR	81	0.933147635375239	0.603062551716845	1	0|observed < expected, pvalue set at 1	0.699053300946699	missense	0.699053300946699	0.717740818065053	0.602062551716845	1	0|observed < expected, pvalue set at 1	0.949334156465776	0.949334156465776
ABRA	30655	0.153843505674473	0.110281141135184	1	0|observed < expected, pvalue set at 1	NA	missense	NA	0.104309360901235	0.107281141135184	0.337659721406718	342065426|probability of observing >= 14 mutations is too small	NA	1
ABRAXAS2	28975	0.165919546940094	0.130824365482681	1	0|observed < expected, pvalue set at 1	NA	missense	NA	0.11434437954563	0.130824365482681	0.351735608243839	355551245|probability of observing >= 14 mutations is too small	NA	1
ABTB1	18275	0.247314271868256	0.001	1	0|observed < expected, pvalue set at 1	NA	missense	NA	0.171542634794732	0	1	0|observed < expected, pvalue set at 1	NA	1
ABTB2	23842	0.715175137226846	0.285684391328961	1	0|observed < expected, pvalue set at 1	NA	missense	NA	0.583161433706883	0.285684391328961	1	0|observed < expected, pvalue set at 1	NA	1
ACACA	84	1.14664607886623	0.441248984901112	1	0|observed < expected, pvalue set at 1	0.217695782304218	missense	0.217695782304218	0.746517626878854	0.441248984901112	1	0|observed < expected, pvalue set at 1	0.549607112051243	0.549607112051243
ACACB	85	1.21236474043554	0.292234291317279	1	0|observed < expected, pvalue set at 1	NA	missense	NA	0.876462617315382	0.286234291317279	1	0|observed < expected, pvalue set at 1	NA	1
ACAD10	21597	0.445451711057223	0.86681115421086	0.138827986228101	895781223|probability of observing >= 21 mutations is too small	0.306019693980306	missense	0.306019693980306	0.276834542532148	0.219796877101904	1	0|observed < expected, pvalue set at 1	0.668379394561518	0.138827986228101
ACAD11	30211	0.323031746162266	0.241894435208199	1	0|observed < expected, pvalue set at 1	NA	missense	NA	0.204044135471983	0.241894435208199	0.400915064697458	623978246|probability of observing >= 17 mutations is too small	NA	1
ACAD9	21497	0.272745035308774	0.841529010434589	0.0484476210130827	620348145|probability of observing >= 17 mutations is too small	NA	missense	NA	0.203040200732737	0	1	0|observed < expected, pvalue set at 1	NA	0.0484476210130827
ACADM	89	0.182380057269875	0.001	1	0|observed < expected, pvalue set at 1	NA	missense	NA	0.113002920739069	0	1	0|observed < expected, pvalue set at 1	NA	1
ACADSB	91	0.146013300657375	0.824259198226475	0.0154860269877693	304184692|probability of observing >= 13 mutations is too small	0.744619255380744	missense	0.744619255380744	0.100768603686062	0.624860372750215	0.00848040443204771	304184692|probability of observing >= 13 mutations is too small	0.0382977267326549	0.0154860269877693
ACADVL	92	0.266645579727683	0.0984907937379557	1	0|observed < expected, pvalue set at 1	NA	missense	NA	0.191107255885906	0.0984907937379557	1	0|observed < expected, pvalue set at 1	NA	1
ACAN	319	0.787208396843054	0.313387106958923	1	0|observed < expected, pvalue set at 1	0.193665806334194	missense	0.193665806334194	0.572788346700366	0.311387106958923	1	0|observed < expected, pvalue set at 1	0.511591710019783	0.511591710019783
ACAP1	16467	0.399792970470898	0.625807188426836	0.243323363999434	757897960|probability of observing >= 19 mutations is too small	0.51966048033952	missense	0.51966048033952	0.273924594057202	0.624807188426836	0.102883394600366	757897960|probability of observing >= 19 mutations is too small	0.210047788003394	0.210047788003394
ACAP2	16469	0.354460099003299	0.286208950842047	1	0|observed < expected, pvalue set at 1	NA	missense	NA	0.22425052879728	0.286208950842047	0.323736219976318	609725864|probability of observing >= 17 mutations is too small	NA	1
ACAP3	16754	0.385654048723677	0.19839882547626	1	0|observed < expected, pvalue set at 1	NA	missense	NA	0.293503021742568	0	1	0|observed < expected, pvalue set at 1	NA	1
ACAT1	93	0.153831000770615	0.267443304620082	0.254249178765992	308258569|probability of observing >= 13 mutations is too small	NA	missense	NA	0.114348816398532	0.267443304620082	0.197358789898343	308258569|probability of observing >= 13 mutations is too small	NA	0.254249178765992
ACAT2	94	0.159316353648942	0.265170419760529	0.270495364778603	335051674|probability of observing >= 14 mutations is too small	NA	missense	NA	0.117620620163596	0.265170419760529	0.211986511056106	335051674|probability of observing >= 14 mutations is too small	NA	0.270495364778603
ACBD3	15453	0.260606842345195	0.251302822693294	1	0|observed < expected, pvalue set at 1	NA	missense	NA	0.168934244404448	0.250302822693294	0.324006733806733	545414711|probability of observing >= 16 mutations is too small	NA	1
ACBD5	23338	0.207501539470948	0.001	1	0|observed < expected, pvalue set at 1	NA	missense	NA	0.133588918509722	0	1	0|observed < expected, pvalue set at 1	NA	1
ACBD6	23339	0.104768088792004	0.114389681667139	0.289031768111264	211130901|probability of observing >= 12 mutations is too small	NA	missense	NA	0.0638808664498845	0.114389681667139	0.230120439943483	211130901|probability of observing >= 12 mutations is too small	NA	0.289031768111264
ACCS	23989	0.170586909671709	0.001	1	0|observed < expected, pvalue set at 1	NA	missense	NA	0.120202910846116	0	1	0|observed < expected, pvalue set at 1	NA	1
ACCSL	34391	0.156292868856911	0.384318288017349	0.119443752311337	447396622|probability of observing >= 15 mutations is too small	0.732536267463733	missense	0.732536267463733	0.100194819277143	0.384318288017349	0.0297892096793217	447396622|probability of observing >= 15 mutations is too small	0.10528634778498	0.10528634778498
ACD	25070	0.248921275231447	0.777557709320759	0.05071986149439	622857426|probability of observing >= 17 mutations is too small	0.247296752703247	missense	0.247296752703247	0.176304593538738	0.376180768459106	0.143417218602802	622857426|probability of observing >= 17 mutations is too small	0.153895430874037	0.05071986149439
ACE	2707	0.564026838991564	0.49140319795163	1	0|observed < expected, pvalue set at 1	0.737547262452737	missense	0.737547262452737	0.379550096160871	0.49140319795163	0.289878186366735	1094109516|probability of observing >= 26 mutations is too small	0.543630558769238	0.543630558769238
ACE2	13557	0.241432188341007	0.453524602403703	0.212008230123973	300270153|probability of observing >= 13 mutations is too small	NA	missense	NA	0.138198295000347	0.452524602403703	0.108467016434408	300270153|probability of observing >= 13 mutations is too small	NA	0.212008230123973
ACER1	18356	0.095490885690403	0.238518740916636	0.143387216805256	254821580|probability of observing >= 13 mutations is too small	NA	missense	NA	0.0697782452177253	0.237518740916636	0.105210300065069	254821580|probability of observing >= 13 mutations is too small	NA	0.143387216805256
ACER3	16066	0.121412160644428	0.205470975216997	0.239611852365618	221709741|probability of observing >= 12 mutations is too small	NA	missense	NA	0.0706232049046426	0.205470975216997	0.164766124833099	221709741|probability of observing >= 12 mutations is too small	NA	0.239611852365618
ACHE	108	0.528600471328171	0.132329968083456	1	0|observed < expected, pvalue set at 1	NA	missense	NA	0.364481954833244	0.132329968083456	1	0|observed < expected, pvalue set at 1	NA	1
ACIN1	17066	0.717582087954969	1.44721778447206	0.086849814520657	1023917446|probability of observing >= 24 mutations is too small	0.697895302104698	missense	0.697895302104698	0.458495477247993	0.7972035073631	0.145891442460162	1023917446|probability of observing >= 24 mutations is too small	0.334425789098901	0.086849814520657
ACKR1	4035	0.0776184884950023	0.222576205247739	0.0983155768904075	225241256|probability of observing >= 12 mutations is too small	NA	missense	NA	0.0517884908237232	0.222576205247739	0.0581070189850144	225241256|probability of observing >= 12 mutations is too small	NA	0.0983155768904075
ACLY	115	0.755675008475049	1.21948285974351	0.202966769111018	931265285|probability of observing >= 22 mutations is too small	0.466612533387467	missense	0.466612533387467	0.600708232432173	0.572468582634558	1	0|observed < expected, pvalue set at 1	0.822290764008477	0.202966769111018
ACO1	117	0.415364895229507	0.920277998078292	0.107283599360032	732962736|probability of observing >= 19 mutations is too small	0.862989137010863	missense	0.862989137010863	0.281452635897604	0.399008258038753	0.273146472880278	732962736|probability of observing >= 19 mutations is too small	0.576364999593582	0.107283599360032
ACO2	118	0.386718201184576	0.445015703103442	0.368697330204658	762718915|probability of observing >= 19 mutations is too small	NA	missense	NA	0.305183044541842	0	1	0|observed < expected, pvalue set at 1	NA	0.368697330204658
ACOT11	18156	0.339462957419955	0.324668946971549	1	0|observed < expected, pvalue set at 1	0.779196220803779	missense	0.779196220803779	0.239834429123859	0.324668946971549	0.292370198416985	720767043|probability of observing >= 18 mutations is too small	0.564801975762527	0.564801975762527
